id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
1,1001,06-10-2015 17:31,123,22,24,169,613.77,164.78,194.88,973.43
2,1001,05-11-2015 03:34,190,41,57,288,948.1,307.09,462.84,1718.03
3,1001,04-12-2015 04:21,85,47,0,132,424.15,352.03,0,776.18
4,1001,02-01-2016 01:18,144,32,0,176,718.56,239.68,0,958.24
5,1001,01-02-2016 19:27,108,29,28,165,538.92,217.21,227.36,983.49
6,1001,02-03-2016 15:29,103,24,46,173,513.97,179.76,373.52,1067.25
7,1001,01-04-2016 11:20,101,33,92,226,503.99,247.17,747.04,1498.2
8,1001,01-05-2016 15:55,95,47,151,293,474.05,352.03,1226.12,2052.2
9,1001,31-05-2016 21:22,91,16,22,129,454.09,119.84,178.64,752.57
10,1001,30-06-2016 12:32,94,46,8,148,469.06,344.54,64.96,878.56
11,1001,30-07-2016 03:26,101,36,0,137,503.99,269.64,0,773.63
12,1001,28-08-2016 07:13,124,33,39,196,618.76,247.17,316.68,1182.61
13,1001,26-09-2016 23:28,104,10,44,158,518.96,74.9,357.28,951.14
14,1001,26-10-2016 20:31,97,143,54,294,484.03,1071.07,438.48,1993.58
15,1001,25-11-2016 23:21,127,39,44,210,633.73,292.11,357.28,1283.12
16,1001,24-12-2016 05:53,123,127,19,269,613.77,951.23,154.28,1719.28
17,1011,21-12-2016 10:59,527,14,0,541,2629.73,104.86,0,2734.59
18,1021,12-10-2015 02:21,516,23,0,539,2574.84,172.27,0,2747.11
19,1021,11-11-2015 07:37,497,61,0,558,2480.03,456.89,0,2936.92
20,1021,11-12-2015 16:53,483,0,21,504,2410.17,0,170.52,2580.69
21,1021,10-01-2016 09:29,535,0,34,569,2669.65,0,276.08,2945.73
22,1021,09-02-2016 00:50,502,4,9,515,2504.98,29.96,73.08,2608.02
23,1021,10-03-2016 00:38,555,19,4,578,2769.45,142.31,32.48,2944.24
24,1031,25-12-2016 03:54,1148,0,215,1363,5728.52,0,1745.8,7474.32
25,1041,14-10-2016 23:54,298,28,69,395,1487.02,209.72,560.28,2257.02
26,1041,13-11-2016 10:11,307,22,0,329,1531.93,164.78,0,1696.71
27,1041,12-12-2016 07:50,157,34,21,212,783.43,254.66,170.52,1208.61
28,1051,02-08-2016 20:13,505,84,0,589,2519.95,629.16,0,3149.11
29,1051,01-09-2016 05:38,498,35,9,542,2485.02,262.15,73.08,2820.25
30,1051,01-10-2016 00:48,486,0,1,487,2425.14,0,8.12,2433.26
31,1051,31-10-2016 06:47,505,71,19,595,2519.95,531.79,154.28,3206.02
32,1051,30-11-2016 07:31,490,18,0,508,2445.1,134.82,0,2579.92
33,1051,30-12-2016 08:45,495,1,1,497,2470.05,7.49,8.12,2485.66
34,1061,19-10-2016 16:04,290,52,23,365,1447.1,389.48,186.76,2023.34
35,1061,17-11-2016 08:43,249,3,17,269,1242.51,22.47,138.04,1403.02
36,1061,16-12-2016 21:32,290,22,18,330,1447.1,164.78,146.16,1758.04
37,1071,13-12-2016 09:01,803,31,19,853,4006.97,232.19,154.28,4393.44
38,1081,12-02-2015 22:57,283,61,23,367,1412.17,456.89,186.76,2055.82
39,1081,13-03-2015 09:48,309,0,25,334,1541.91,0,203,1744.91
40,1081,12-04-2015 04:38,292,30,11,333,1457.08,224.7,89.32,1771.1
41,1081,12-05-2015 23:20,273,30,19,322,1362.27,224.7,154.28,1741.25
